"RUN_NUM","COMP_CD","POL_NUM","AGT_CD","AGT_RANK_CD","BNS_RATE","BNS_BASE","BNS_AMT","WRTN_AGT","RPT_LVL","PREV_YTD_BNS","CURR_YTD_BNS","PARM1_VAL","PARM2_VAL","PARM3_VAL","PARM4_VAL","PARM5_VAL","TRANS_AC_IND","BNS_MTH","GOR_GEN_LVL"
"202004","GAGFYC","4268372861","G00132","BD","25","4450040","1112510","G00133","3","","","25","4450040","15","0","","","202004","1"
"202004","GAGFYC","4268372861","G00077","BD","20","4450040","890008","G00132","4","","","20","4450040","10","0","","","202004","2"
"202004","GABFYC","4268404318","G00438","BSM","50","97926","39170.4","G00438","1","","","50","97926","","","","","202004",""
"202004","GABFYC","4268404318","G00308","BD","50","97926","39170.4","G00438","2","","","50","97926","","","","","202004",""
"202004","GAGFYC","4268404318","G00132","BD","25","97926","24481.5","G00308","3","","","25","97926","15","0","","","202004","1"
"202004","GAGFYC","4268404318","G00077","BD","20","97926","19585.2","G00132","4","","","20","97926","10","0","","","202004","2"
"202004","GABFYC","4268404326","G00438","BSM","50","1719144","687657.6","G00438","1","","","50","1719144","","","","","202004",""
"202004","GABFYC","4268404326","G00308","BD","50","1719144","687657.6","G00438","2","","","50","1719144","","","","","202004",""
"202004","GAGFYC","4268404326","G00132","BD","25","1719144","429786","G00308","3","","","25","1719144","15","0","","","202004","1"
"202004","GAGFYC","4268404326","G00077","BD","20","1719144","343828.8","G00132","4","","","20","1719144","10","0","","","202004","2"
"202004","GABFYC","4268404334","G00438","BSM","50","2300425","920170","G00438","1","","","50","2300425","","","","","202004",""
"202004","GABFYC","4268404334","G00308","BD","50","2300425","920170","G00438","2","","","50","2300425","","","","","202004",""
"202004","GAGFYC","4268404334","G00132","BD","25","2300425","575106.25","G00308","3","","","25","2300425","15","0","","","202004","1"
"202004","GAGFYC","4268404334","G00077","BD","20","2300425","460085","G00132","4","","","20","2300425","10","0","","","202004","2"
"202004","GABFYC","4268414309","G00434","BSM","50","3675360","1470144","G00433","2","","","50","3675360","","","","","202004",""
"202004","GABFYC","4268414309","G00391","BD","50","3675360","1837680","G00433","3","","","50","3675360","","","","","202004",""
"202004","GAGFYC","4268414309","G00202","BD","25","3675360","918840","G00391","4","","","25","3675360","15","0","","","202004","1"
"202004","GABFYC","4268446814","G00390","BSM","50","5172800","2586400","G00406","2","","","50","5172800","","","","","202004",""
"202004","GABFYC","4268446814","G00232","BD","50","5172800","2586400","G00406","3","","","50","5172800","","","","","202004",""
"202004","GAGFYC","4268446814","G00202","BD","25","5172800","1293200","G00232","4","","","25","5172800","15","0","","","202004","1"
"202004","GABFYC","4268469329","G00420","BSM","50","1943760","777504","G00415","2","","","50","1943760","","","","","202004",""
"202004","GABFYC","4268469329","G00429","BD","50","1943760","971880","G00415","3","","","50","1943760","","","","","202004",""
"202004","GAGFYC","4268469329","G00133","BD","25","1943760","485940","G00429","4","","","25","1943760","15","0","","","202004","1"
"202004","GABFYC","4259432021","G00438","BSM","50","3845046","1538018.4","G00438","1","","","50","3845046","","","","","202004",""
"202004","GABFYC","4259432021","G00308","BD","50","3845046","1538018.4","G00438","2","","","50","3845046","","","","","202004",""
